date,time,Sensor 1,Sensor 2,Sensor 3
20110209,0004,0.906665642,17.2926103398,27.262724708
20110209,0005,0.9313975251,21.2948587161,8.2468784082
20110209,0006,0.7157520592,13.7179008338,14.18598402
20110209,0007,0.7474274446,13.6128942697,11.8942986888
20110209,0008,0.3498518755,20.4766043782,37.750699545
20110209,0009,0.4241942919,7.7762370279,32.4220305966
20110209,0010,0.8052929027,19.2620517922,2.5745901309
20110209,0011,0.0224454978,3.7399679282,34.7327263929
20110209,0012,0.6563754589,8.7073847425,36.0575136906
20110209,0013,0.586839515,15.7700915038,11.5492409261
20110209,0014,0.7764371296,11.6781324954,38.0294525645
20110209,0015,0.3690716477,17.8407751364,38.1398692756
20110209,0016,0.4325151306,5.5882182639,37.9319995095
20110209,0017,0.0978053293,18.9464680501,27.564192407
20110209,0018,0.2338041275,7.6793362116,0.7450082197
20110209,0019,0.7448565836,21.9918692792,13.0347608232
20110209,0020,0.2711604018,21.4555947377,8.1600600398
20110209,0021,0.5153909645,12.8198795574,27.7226252043
20110209,0022,0.2577987829,4.6814282478,13.2849430767
20110209,0023,0.4111369091,5.3795097276,29.8222111685
20110209,0024,0.0730102608,21.2768855853,34.1291196061
20110209,0025,0.4536856676,14.8483662613,10.9205679507
20110209,0026,0.3235725979,1.3731557786,39.3972158714
20110209,0027,0.8125999994,8.6995006199,29.0041272707
20110209,0028,0.3299371442,6.2287877663,34.469653866
20110209,0029,0.6825369406,17.110817537,32.6916428617
20110209,0030,0.4123804694,19.5841473816,35.396499729
20110209,0031,0.8714266477,20.1150076082,8.5070810093
20110209,0032,0.2669955885,10.4885382845,3.8793390479
20110209,0033,0.1280139413,0.9277159165,15.9470444292
20110209,0034,0.5950984042,8.4334765354,29.3990137186
20110209,0035,0.4617865776,18.0647375218,28.4364896254
20110209,0036,0.0858584095,2.8419861415,8.637137966
20110209,0037,0.9041396228,4.0281476329,12.245248467
20110209,0038,0.4304696698,8.4801047046,33.5465358319
20110209,0039,0.8926620937,9.4277728967,19.1028386137
20110209,0040,0.686361524,6.4956118236,7.0770458808
20110209,0041,0.1412103156,7.6937733895,26.9128068072
20110209,0042,0.8163152731,6.7589218072,25.6493926685
20110209,0043,0.7294226984,23.2118186091,31.095121964
20110209,0044,0.6246374017,12.0777519321,32.8919359968
20110209,0045,0.0263013175,21.2576548616,37.2811847447
20110209,0046,0.6591075783,9.3474785323,21.2109812664
20110209,0047,0.76004794,24.0499460713,0.8443863235
20110209,0048,0.7561405617,17.9683449243,32.9790345237
20110209,0049,0.164774981,4.4580123035,1.8021250875
20110209,0050,0.4989062771,15.332413049,34.1655894999
20110209,0051,0.3071185874,8.6842446921,17.6643433093
20110209,0052,0.1337277639,11.8790008697,0.4129019143
20110209,0053,0.1623279003,23.7434840353,17.5124810749
20110209,0054,0.1758655606,10.8938659208,35.8753101987
20110209,0055,0.9160711205,18.3512908182,5.8330597946
20110209,0056,0.3781993572,16.0630227881,32.4903631966
20110209,0057,0.4088280951,21.3999053931,10.8214789703
20110209,0058,0.7792472796,4.3879601971,35.1164857143
20110209,0059,0.3131083908,1.8027070904,7.642726993
20110209,0100,0.800545002,8.4863593577,13.0641896007
20110209,0101,0.0161230117,6.378059098,28.4005998792
20110209,0102,0.6000297544,24.7768897428,27.1086072201
20110209,0103,0.5299902385,3.1000127073,33.5030530214
20110209,0104,0.8592931616,24.3649148342,10.5676150391
20110209,0105,0.9025748461,4.4356735953,20.4757045345
20110209,0106,0.6219744509,11.5162436462,28.7410101566
20110209,0107,0.3408230875,22.8030585475,22.6047886311
20110209,0108,0.0141656883,9.4717349406,19.542554224
20110209,0109,0.2621742744,1.3298415001,24.4111034335
20110209,0110,0.0514181557,12.8455633686,15.4624009403
20110209,0111,0.1194251368,21.1666111927,31.0753607982
20110209,0112,0.2755139697,8.9628755532,34.5668883445
20110209,0113,0.5831026978,9.5346283604,28.4842294787
20110209,0114,0.5699721877,15.631338071,1.5885440979
20110209,0115,0.3209546246,21.7589284496,17.2705431022
20110209,0116,0.333875898,20.390425916,29.7827954306
20110209,0117,0.0723667328,8.6956457188,39.243643116
20110209,0118,0.5281194677,0.1819033555,1.4122102355
20110209,0119,0.3152210041,10.5405417739,0.7332732142
20110209,0120,0.6238610459,6.0826806365,20.7099507916
20110209,0121,0.6614821144,12.3624571025,9.3110545777
20110209,0122,0.3187794758,6.024056161,14.3395354965
20110209,0123,0.0887975131,5.3165478182,24.6645501035
20110209,0124,0.7792100958,13.8968214627,20.4304874881
20110209,0125,0.1751202639,17.5654159915,30.9242772141
20110209,0126,0.2557320479,15.2439998166,21.4299547899
20110209,0127,0.6095798336,0.7631536326,10.0140930418
20110209,0128,0.7170238059,5.442264701,3.0993919731
20110209,0129,0.7011933452,0.7293525674,3.9791048669
20110209,0130,0.6934959702,2.2863890954,4.2378386224
20110209,0131,0.7445234533,6.2901649424,37.1924911528
20110209,0132,0.9375711991,18.4326874376,16.583223615
20110209,0133,0.0006938249,11.4751735583,24.7624177199
20110209,0134,0.7677943419,0.4493107747,18.3225470672
20110209,0135,0.6165577955,1.4240226304,33.7340798607
20110209,0136,0.0834920006,0.0670906668,33.4341462416
20110209,0137,0.3400383303,23.2085440972,0.2571998601
20110209,0138,0.4978837119,12.192158702,24.7598305328
20110209,0139,0.0435297723,23.6245693237,1.8780382453
20110209,0140,0.0251010039,11.7459619968,10.1139670705
20110209,0141,0.8705706359,1.3163821396,24.0729633649
20110209,0142,0.0503926808,4.1902290332,22.514875308
20110209,0143,0.7838988968,22.4031750415,32.6459795839
20110209,0144,0.7459582082,23.6227722405,36.4161563021
20110209,0145,0.2584959038,23.6577760015,19.9306514336
20110209,0146,0.3654276546,21.6321062098,5.1418973192
20110209,0147,0.9282142601,23.8820399713,8.0357197863
20110209,0148,0.601676434,18.9006115488,0.7812473246
20110209,0149,0.7574021237,15.2144179803,14.4979286631
20110209,0150,0.1517517346,22.5965197854,39.0908265034
20110209,0151,0.9740891075,13.1237005944,25.7031859702
20110209,0152,0.9151355992,22.9162297055,14.0425556918
20110209,0153,0.8269454517,21.8816450245,20.0751774027
20110209,0154,0.891658776,3.7639058957,39.6169617813
20110209,0155,0.5201968992,1.7341200448,27.5919684615
20110209,0156,0.8236990451,4.2207687705,6.7110614074
20110209,0157,0.4026977637,21.0026056417,14.2493739842
20110209,0158,0.5902628076,6.1075938751,16.9026276903
20110209,0159,0.1448075256,10.2895819856,23.2020589834
20110209,0200,0.5839008865,6.4053490525,30.4013199047
20110209,0201,0.3653572908,7.796568563,7.0890724589
20110209,0202,0.6088555082,22.7929744955,24.2443396114
20110209,0203,0.4651083541,2.6361458318,4.3527502393
20110209,0204,0.2321116035,1.2643206978,11.3516302002
20110209,0205,0.7516046026,18.6089044932,6.5492263323
20110209,0206,0.9066033622,21.7648970577,36.7963978569
20110209,0207,0.1561662305,24.7042022291,18.6488979337
20110209,0208,0.7662532656,18.4129233778,3.9624852774
20110209,0209,0.7660085047,0.5434152858,15.0323980175
20110209,0210,0.4285652053,6.450314258,6.3435327233
20110209,0211,0.90290802,11.7343311199,31.5208941831
20110209,0212,0.2009817073,10.6937262855,13.4292880787
20110209,0213,0.7990898506,21.8149783809,27.3097650551
20110209,0214,0.202031345,1.2917285589,1.5362150973
20110209,0215,0.8792557154,2.7290750142,10.5325214629
20110209,0216,0.9835272805,0.2502853363,10.258587333
20110209,0217,0.1512725784,12.1475870382,34.6734728039
20110209,0218,0.3567418714,19.3324059698,34.9256801719
20110209,0219,0.0785935199,2.5400089135,27.2325307153
20110209,0220,0.6736464876,11.7318065314,16.7253398353
20110209,0221,0.2116404379,12.9666192514,14.3862449702
20110209,0222,0.1070358906,13.1821725954,7.4572640245
20110209,0223,0.0173625827,2.168560744,35.0608612773
20110209,0224,0.5428203771,0.8727142641,2.3095975379
20110209,0225,0.6026648395,15.6788460626,11.2716071867
20110209,0226,0.6016533578,13.3169298919,1.5112343851
20110209,0227,0.0240055131,12.8995101967,18.5272905167
20110209,0228,0.4102717058,22.7405747764,5.9520427115
20110209,0229,0.2649608034,18.2673280741,25.7858511228
20110209,0230,0.0905503232,1.438536808,12.6772610941
20110209,0231,0.7835902168,1.6857431191,1.0383004667
20110209,0232,0.6453404194,20.2211806624,2.9388683393
20110209,0233,0.3611423387,5.3988134423,30.2816401104
20110209,0234,0.3625067141,8.6922609,26.5005813735
20110209,0235,0.4474389446,11.7454944899,17.9181567937
20110209,0236,0.3689386179,15.3528024041,20.174618181
20110209,0237,0.0255904364,8.1102431152,6.4177083565
20110209,0238,0.9823911023,14.4577294051,13.6689190531
20110209,0239,0.9175586633,2.1953410027,17.5761474533
20110209,0240,0.5708344287,19.4695420654,39.1201896973
20110209,0241,0.936179379,23.3834406314,30.8947893344
20110209,0242,0.852979661,12.2023894742,21.6034463661
20110209,0243,0.9101441508,21.0101349438,17.8884503273
20110209,0244,0.5699990559,17.5421198285,11.9367507939
20110209,0245,0.0067998223,9.6732367791,11.9091037063
20110209,0246,0.8910752852,5.8360875961,9.0830348485
20110209,0247,0.0767265303,22.6002837096,5.0682163293
20110209,0248,0.0336943558,3.8956248885,28.9055400686
20110209,0249,0.1678624267,21.8312801632,4.4518420267
20110209,0250,0.8768837903,20.855932598,1.5514142458
20110209,0251,0.8432008426,3.8585300719,23.9973373141
20110209,0252,0.990721029,22.4809044728,29.9582838914
20110209,0253,0.0725639692,20.8308725763,12.0159159015
20110209,0254,0.090148717,8.8804584024,26.7835463962
20110209,0255,0.1203703581,22.2587933714,25.7987959636
20110209,0256,0.1455266143,19.7273854703,22.4962107484
20110209,0257,0.911608715,5.6668551135,6.8312662633
20110209,0258,0.022452686,4.0732504273,21.3142350682
